,Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7,Season 8
aemon,[],[],[],"[0, 4]","[0, 4]",[],[],[]
aeron,[],[],[],[],[],[23],[],[]
all,[],[],[],[0],[],[23],[],[]
all three,[],[23],[],[],[],[],[],[]
alliser thorn,[0],[],[],"[0, 3, 18]","[6, 12]","[0, 6, 7]",[],[]
alton,[],"[0, 5, 9]",[],[],[],[],[],[]
amory,[],[6],[],[],[],[],[],[]
anguy,[],[],"[0, 5, 19]",[],[],[],[],[]
announcer,[],[3],[],[],[2],[],[],[]
arthur,[],[],[],[],[],"[0, 11, 29]",[],[]
arya stark,"[0, 9, 23]","[2, 15, 18]","[0, 13, 19]","[0, 15, 19]","[0, 3, 7]","[8, 13, 20]","[0, 7, 29]","[0, 7, 27]"
attendant,[],[],[],[],[],[5],[],[]
balon,[],"[10, 16]",[],[],[],"[23, 28]",[],[]
banker,[],[],[],[],[12],[],[],[]
barristan,[],[],"[4, 5, 15]",[26],"[4, 5]",[],[],[]
barristan selmy,"[5, 11, 24]",[],[],[5],[],[],[],[]
benjen stark,"[0, 11, 14]",[],[],[],[],"[0, 18, 28]",[],[]
beric,[],[],"[3, 12, 15]",[],[],"[0, 12]","[0, 2, 7]","[0, 2, 3]"
bianca,[],[],[],[],[],[0],[],[]
black haired prostitute,[],[],[],[],"[7, 17, 26]",[],[],[]
black walder,[],[],[],[],[],[29],[],[]
blonde prostitute,[],[],[],[],[7],[],[],[]
bloodrider,[],[],[],[],[],"[0, 14, 24]",[],[]
bobono,[],[],[],[],[],"[0, 24]",[],[]
bolton guard,[],[],[],[7],[],[],[],[]
bowen marsh,[],[],[],[],[],[23],[],[]
braavosi man,[],[],[],[],[17],[],[],[]
bran stark,"[0, 6, 7]","[0, 2, 23]","[0, 8, 28]","[0, 6, 23]",[0],"[6, 8, 18]","[1, 8, 13]","[18, 25, 28]"
brienne,[],"[8, 12, 28]","[0, 7, 13]","[8, 19, 29]","[0, 8, 9]","[0, 8, 29]","[6, 8, 23]","[0, 22, 25]"
bronn,"[1, 2, 12]","[0, 1, 19]","[0, 3, 12]","[15, 18, 20]","[0, 5, 9]","[0, 1, 10]","[5, 24, 26]",[]
brother,[],[],[],[],[18],[],[],[]
brynden,[],[],[29],[],[],"[0, 8, 20]",[],[]
buyer,[],[],[],[],"[17, 22]",[],[],[]
camello,[],[],[],[],[],"[9, 16]",[],[]
captain,[],[],[],[17],[],[28],[],[]
catelyn stark,"[0, 2, 13]","[0, 9, 29]","[1, 6, 7]",[],[],[],[],[]
cersei lannister,"[0, 6, 25]","[0, 12, 22]","[0, 16, 26]","[0, 3, 22]","[2, 18, 26]","[0, 22, 25]","[1, 15, 26]","[0, 20, 23]"
child of forest,[],[],[],[],[],[3],[],[]
clarenzo,[],[],[],[],[],"[0, 26]",[],[]
cooper,[],[],[],[0],[],[],[],[]
craster,[],[0],"[0, 2, 19]",[],[],[],[],[]
crayah,[],[],[],[],[],[],[],[0]
cressen,[],[23],[],[],[],[],[],[]
crowd,[],"[0, 21, 22]",[5],[5],"[0, 5, 21]",[],[],[]
daario,[],[],"[0, 14, 20]","[4, 20, 26]","[2, 4, 26]","[0, 19, 26]",[],[]
daenerys targaryen,"[0, 3, 21]","[7, 9, 18]","[1, 3, 10]","[0, 4, 16]","[0, 20, 25]","[0, 17, 22]","[0, 4, 6]","[0, 1, 9]"
dagmer,[],"[1, 13, 16]",[],[],[],[],[],[]
daisy,[],"[0, 5, 16]",[],[],[],[],[],[]
davos,[],"[0, 5, 13]","[0, 20, 23]","[0, 7, 20]","[0, 5, 29]","[0, 2, 18]","[0, 6, 14]","[0, 6, 12]"
derryk,[],[],[],[],[13],[],[],[]
dickon,[],[],[],[],[],[],"[2, 4]",[]
dolorous,[],[20],[],[],[],[],[],[]
dolorous edd,[],[0],[3],[0],[],"[0, 6, 19]",[],[]
donnel,[],[],[],[23],[],[],[],[]
doran,[],[],[],[],[0],[],[],[]
doreah,"[18, 23]",[],[],[],[],[],[],[]
dothraki,[],[],[],[],[],[20],[],[]
dothraki man,[],[],[],[],[],[],[],[19]
dothraki woman,[],[],[],[],[],[3],[],[]
drowned priest,[],"[6, 23]",[],[],[],[],[],[]
dying man,[],[],[],"[2, 25]",[],[],[],[]
edd,[],[],[],"[0, 4, 6]",[],[],[0],[0]
eddard stark,"[0, 3, 6]",[],[],[],[],"[4, 9, 16]",[],[]
edmure,[],[],"[0, 2, 18]",[],[],"[0, 10, 29]",[],[]
ellaria,[],[],[],[27],"[20, 26]",[],"[12, 15]",[]
end,[],[],[],[],[0],[],[20],[]
euron greyjoy,[],[],[],[],[],"[0, 9, 23]","[0, 20, 27]","[0, 8, 26]"
everyone,[23],[],[],[23],[],[],[],[]
farlen,[],[20],[],[],[],[],[],[]
fennesz,[],[],[],"[5, 13]",[],[],[],[]
frey guard,[],[],"[1, 12]",[],[],[],[],[]
frey soldier,[],[],"[17, 20]",[],[],[],[],[]
gared,"[0, 13]",[],[],[],[],[],[],[]
gendry baratheon,"[2, 20]","[0, 1, 2]","[0, 7, 15]",[],[],[],"[7, 17, 27]","[0, 1, 7]"
giant,[],[],[],[],[0],[],[],[]
gilly,[],"[3, 20, 22]","[0, 2, 4]","[0, 17, 27]","[0, 7, 9]","[0, 18]","[0, 4]",[]
gold cloak,[],[18],[],[],[],[],[],[]
grand maester pycelle,"[0, 2, 11]",[],[],[],[],[],[],[]
greatjon umber,"[20, 22]",[],[],[],[],[],[],[]
grenn,"[0, 13, 23]","[13, 15, 18]","[12, 20]","[6, 12, 15]",[],[],[],[]
grey worm,[],[],[26],"[0, 4, 15]","[10, 12, 26]","[0, 16, 28]","[2, 17, 26]","[0, 4, 15]"
group,[],[0],[],[],[],[],[],[]
guard,"[5, 26]","[6, 12, 16]",[],[],[],"[3, 29]","[0, 24]",[12]
handmaiden,[],[],[],[],[],[2],[],[]
harry,[],[],[],[],[],[],[],"[1, 5, 13]"
haylene,[],[2],[],[],[],[],[],[]
hizdahr,[],[],[],[26],"[1, 2, 26]",[],[],[]
hodor,[],[8],[8],[8],[],[8],[],[]
hot pie,[18],"[18, 19]",[0],"[0, 19]",[],[],[10],[]
hugh of vale,[3],[],[],[],[],[],[],[]
hunters,[],[],[],[],[13],[],[],[]
illyrio,"[0, 5]",[],[],[],[],[],[],[]
irri,"[4, 16]",[0],[],[],[],[],[],[]
izembaro,[],[],[],[],[],[11],[],[]
jaime lannister,"[0, 1, 11]","[6, 10, 19]","[0, 23, 28]","[0, 10, 22]","[0, 3, 26]","[0, 3, 29]","[0, 4, 29]","[6, 13, 26]"
janos slynt,[],"[3, 26, 28]",[],"[0, 15, 20]","[0, 10, 28]",[],[],[]
jaqen hghar,[],"[9, 15, 24]",[],[],"[0, 10]","[5, 13, 17]",[],[]
jaremy rykker,[0],[],[],[],[],[],[],[]
jeor mormont,"[0, 11, 29]","[0, 19]",[13],[],[],[],[],[]
jhiqui,[9],[],[],[],[],[],[],[]
joffrey dwarf,[],[],[],"[0, 3]",[],[],[],[]
joffrey lannister,"[2, 10, 26]","[0, 11, 12]","[0, 16, 22]","[6, 17, 26]",[],[],[],[]
jojen,[],[],"[0, 9, 28]","[0, 1, 8]",[],[],[],[]
jon snow,"[0, 3, 25]","[0, 12, 18]","[0, 9, 15]","[0, 3, 15]","[0, 16, 18]","[0, 9, 10]","[0, 18, 20]","[12, 16, 26]"
jorah mormont,"[4, 15, 26]","[4, 7, 9]","[4, 10, 15]","[4, 11, 15]","[0, 18, 26]","[0, 12, 17]","[0, 4, 6]","[3, 7, 20]"
jory cassel,"[2, 10, 26]",[],[],[],[],[],[],[]
karl tanner,[],[],[],"[0, 2, 7]",[],[],[],[]
karsi,[],[],[],[],"[0, 28]",[],[],[]
kevan lannister,[],[],[],[],"[5, 26]","[3, 12, 22]",[],[]
khal drogo,"[0, 10, 18]",[],[],[],[],[4],[],[]
khal moro,[],[],[],[],[],"[0, 4]",[],[]
kings landing baker,[0],[],[],[],[],[],[],[]
kings soldier,[],[],[],[],[],[5],[],[]
kingsguard,[],[],[],[],[28],[],[],[]
knight,[],[],[],[],[3],[],[],[]
kovarro,[],[4],[],[],[],[],[],[]
kraznys mo nakloz,[],[],"[2, 6]",[],[],[],[],[]
lady anya,[],[],[],[16],[],[],[],[]
lady crane,[],[],[],[],[],"[0, 2, 3]",[],[]
lady walda,[],[],[],[],[],[28],[],[]
lancel lannister,[5],"[5, 18, 26]",[],[],"[0, 16]",[12],[],[]
lannister scout,[2],[],[],[],[],[],[],[]
lannister soldier,[0],[],[],[],[],[],[],[]
leaf,[],[],[],[],[],"[3, 8]",[],[]
lem,[],[],[],[],[],[0],[],[]
lhazareen woman,[],[],[],[],[],[0],[],[]
listeners,[],[],[],[],[],[0],[],[]
loboda,[],[],[],[],[0],[],[],[]
locke,[],[],"[4, 12, 20]","[0, 6, 21]",[],[],[],[]
lommy,[],"[18, 19]",[],[],[],[],[],[]
loras tyrell,[3],[11],[8],"[9, 22]","[16, 17, 22]","[0, 25]",[],[]
lord karstark,[],[],[],[],[],"[11, 16]",[],[]
lord mormont,[],"[0, 1, 14]",[],[],[],[],[],[]
lord of bones,[],[0],[],[],"[0, 28]",[],[],[]
lord royce,[],[],[],[6],[],[],[],[]
lord varys,"[2, 5]",[],[],[],[],[],[],[]
lothar,[],[],[],[],[],"[0, 14, 17]",[],[]
luwin,[11],"[7, 12, 18]",[],[],[],[],[],[]
lyanna,[],[],[],[],[],"[3, 8, 10]",[],"[0, 2, 17]"
lysa arryn,"[0, 6, 19]",[],[],"[0, 3, 16]",[],[],[],[]
mace,[],[],[],[5],"[12, 17]",[],[],[]
maester,[],[],[],[],[],[],[28],[]
maester aemon,"[0, 4, 6]",[],"[0, 29]",[0],[],[],[],[]
maester luwin,"[0, 3, 29]",[],[],[],[],[],[],[]
maester wolkan,[],[],[],[],[],[],[],[15]
maggy,[],[],[],[],[26],[],[],[]
malko,[],[],[],[],"[0, 24]",[],[],[]
man,[19],"[0, 1, 12]","[0, 1, 29]","[0, 6, 9]","[3, 5, 13]","[0, 20, 26]","[0, 8, 19]","[2, 6, 13]"
mance,[],[],"[0, 17, 20]","[0, 6, 12]",[6],[],[],[]
marei,[],[],[0],[5],[],[],[],[]
margaery tyrell,[],"[0, 13, 16]","[5, 8, 19]","[0, 8, 13]","[0, 9, 25]","[0, 21, 23]",[],[]
marillion,"[5, 19, 23]",[],[],[],[],[],[],[]
martha,[],[],[],[],[],[],[],"[19, 20]"
martyn,[],[],[0],[],[],[],[],[]
marwyn,[],[],[],[],[],[],"[0, 4, 24]",[]
maryn trant,[3],[],[],[],[],[],[],[]
masha heddle,[2],[],[],[],[],[],[],[]
master,[],[],[],[],[0],[],[],[]
matthos,[],"[5, 7, 14]",[],[],[],[],[],[]
meera,[],[],"[0, 7, 15]","[19, 20, 23]",[],"[0, 8, 12]","[8, 13]",[]
melessa,[],[],[],[],[],"[0, 4, 19]",[],[]
melisandre,[],"[0, 23]","[0, 15, 22]","[0, 2, 26]","[0, 16, 25]","[0, 6, 10]","[15, 27]","[0, 17]"
member,[],[],[],[12],[],[],[],[]
men,[],"[0, 8, 12]",[0],[20],"[6, 23, 26]",[],[],[]
mero,[],[],"[0, 17, 20]",[],[],[],[],[]
merry,[],[],[25],[],[],[],[],[]
meryn trant,"[8, 17, 27]",[10],[0],[],"[17, 26]",[],[],[]
messenger,[],[],[],[],[],[],[5],[]
militant,[],[],[],[],[3],[],[],[]
mirri maz duur,"[0, 3]",[],[],[],[],[],[],[]
missandei,[],[],"[4, 5, 6]","[0, 5, 13]","[0, 4, 26]","[0, 25, 26]","[0, 2, 26]",[]
moles town madam,[],[],[],[2],[],[],[],[]
moles town whore,[],[],[],"[0, 5, 14]",[],[],[],[]
mord,"[0, 23]",[],[],[],[],[],[],[]
mordane,"[0, 19]",[],[],[],[],[],[],[]
morgan,[],[],[],[13],[],[],[],[]
morgans friend,[],[],[],[12],[],[],[],[]
mossador,[],[],[],[],[5],[],[],[]
mountain,[],[7],[],[23],[],[],[],[]
musician,[],[],[],[0],[],[],[],[]
mycah,[1],[],[],[],[],[],[],[]
myranda,[],[],[25],[25],"[0, 22, 28]",[],[],[]
myrcella,[],[],[],[],"[0, 9, 13]",[],[],[]
nights watch,[],[],[],"[3, 22]",[],[],[],[]
nights watcher,"[0, 17]",[],[],[],[],[],[],[]
nights watchman,[],[],[],[],[],[20],[],[]
nora,[],[],[],[],[],[],[],"[3, 22]"
northman,[],[],[],[],[],[],[],"[0, 20]"
nymeria,[],[],[],[],"[2, 7, 27]",[7],[],[]
obara,[],[],[],[],[],[19],[],[]
oberyn martell,[],[],[],"[0, 20, 23]",[],[],[],[]
officer,[],[],[],[0],[],[],[],[]
old man,[],[],[1],[],[12],[],[],[]
olenna tyrell,[],[],"[2, 3, 20]","[1, 20, 26]","[5, 12]","[3, 7, 14]",[],[]
olly,[],[],[],"[12, 22]","[0, 18, 24]",[],[],[]
olyvar,[],[],[],"[2, 12]",[6],[],[],[]
orell,[],[],"[0, 15, 23]",[],[],[],[],[]
osha,"[2, 12, 19]","[0, 2, 20]","[0, 3, 14]",[],[],[19],[],[]
othell yarwyck,[0],[],[],[],[],[],[],[]
petyr baelish,"[3, 11, 29]","[0, 8, 22]","[1, 8, 26]",[0],"[11, 12, 17]","[0, 5, 8]","[8, 25]",[]
podrick,[],[2],"[2, 3, 5]","[0, 2, 18]","[8, 10, 19]","[0, 22]",[8],"[13, 28]"
polliver,[],[6],[],"[0, 6, 24]",[],[],[],[]
populace,[3],[],[],[],[],[],[],[]
priest,[],[],[],[],[5],[],[],[]
priestess,[],[],[],[],[0],[],[],[]
prisoner,[],"[7, 23, 28]",[],[],[],[],[],[]
prostitute,[],"[0, 20]",[],[],[3],[],[],[]
pyat pree,[],"[0, 4, 9]",[],[],[],[],[],[]
pycelle,[],"[0, 5, 28]","[16, 23]","[5, 7, 10]",[5],[],[],[]
pypar,"[2, 18]",[],[],"[2, 3]",[],[],[],[]
qhorin,[],"[0, 13, 15]",[],[],[],[],[],[]
qotho,[4],[],[],[],[],[],[],[]
quaith,[],"[10, 19]",[],[],[],[],[],[]
quick,[],[],[],[],[26],[],[],[]
quorin,[],[0],[],[],[],[],[],[]
qyburn,[],[],"[0, 3, 24]",[22],"[5, 10, 26]",[5],"[2, 3, 5]","[4, 5]"
rakharo,"[4, 15, 23]",[4],[],[],[],[],[],[]
ralf,[],[],[],"[0, 1, 28]",[],[],[],[]
ramsay bolton,[],[],"[0, 7, 9]","[0, 8, 11]","[2, 5, 25]","[2, 14, 22]",[],[]
randyll,[],[],[],[],[],"[0, 12, 18]","[0, 1, 26]",[]
rast,[0],[],"[9, 19, 28]",[17],[],[],[],[]
ray,[],[],[],[],[],"[0, 3, 20]",[],[]
reginald,[],[11],[],[],[],[],[],[]
renly baratheon,"[0, 15, 27]","[8, 11, 20]",[],[],[],[],[],[]
rennick,[],"[0, 6]",[],[],[],[],[],[]
rickard karstark,[],[1],"[3, 11, 29]",[],[],[],[],[]
rickon,[],"[1, 17, 19]","[19, 21]",[],[],[],[],[]
rider,[],[],[],[],[1],"[0, 13]",[],[]
robb stark,"[0, 1, 7]","[0, 2, 3]","[0, 26, 29]",[],[],[],[],[]
robert baratheon,"[0, 2, 11]",[],[],[],[],"[0, 11]",[0],[]
robin arryn,[19],[],[],"[3, 21]",[],[17],[],[]
rodrik cassel,[27],[19],[],[],[],[],[],[]
roose bolton,[],[1],"[0, 2, 11]","[0, 12, 19]","[0, 6, 19]",[],[],[]
rorge,[],[27],[],[],[],[],[],[]
ros,"[0, 2, 12]","[0, 7, 28]","[0, 2]",[],[],[],[],[]
saan,[],"[7, 26]",[],[],[],[],[],[]
salladhor,[],[],[7],[],[],[],[],[]
sallador,[],[],[],[23],[],[],[],[]
sam tarly,"[0, 4, 17]","[0, 6, 12]","[0, 4, 10]","[0, 11, 12]","[0, 7, 15]","[0, 14, 17]","[0, 18, 20]","[0, 12, 14]"
sandor clegane,"[18, 19]","[2, 26, 29]","[0, 3, 19]","[0, 18, 20]",[],"[0, 6, 12]","[0, 2, 17]","[0, 12, 17]"
sansa stark,"[0, 5, 14]","[6, 7, 22]","[16, 18, 23]","[3, 17, 18]","[12, 22, 28]","[0, 6, 28]","[0, 8, 16]","[4, 8, 9]"
selyse,[],[],"[0, 13, 22]","[0, 19, 27]","[0, 2, 22]",[],[],[]
septa mordane,"[4, 12, 19]",[],[],[],[],[],[],[]
septon,[],[],[0],[2],[],[],[],[]
ser barristan,[],[],[],"[5, 18]",[],[],[],[]
ser dontos,[],"[5, 13]",[],"[5, 10, 20]",[],[],[],[]
ser jorah,[],[],[],"[0, 9, 22]",[],[],[],[]
ser vance,[],[],[],[9],[],[],[],[]
shae,"[0, 12, 24]","[0, 7, 12]","[0, 18, 22]","[0, 2, 19]",[],[],[],[]
shireen,[],[],"[0, 18]","[0, 7, 13]","[4, 6, 15]",[],[],[]
silk king,[],[5],[],[],[],[],[],[]
sissy,[],[],[],[15],[],[],[],[]
slaver,[],[],[],[],[9],[],[],[]
smalljon,[],[],[],[],[],[14],[],[]
soldier,[0],"[0, 18, 23]",[28],[],[0],[],"[1, 2]","[0, 3, 12]"
sparrow,[],[],[],[],"[7, 13, 22]","[0, 2, 21]",[],[]
spice king,[],"[4, 10, 19]",[],[],[],[],[],[]
stable boy,"[0, 26]",[],[],[],[],[],[],[]
stannis baratheon,[],"[0, 6, 7]","[5, 18, 27]","[0, 9, 10]","[0, 6, 11]",[],[],[]
street urchin,[16],[],[],[],[],[],[],[]
strong,[],[],[],[],[26],[],[],[]
styr,[],[],[],[25],[],[],[],[]
survivor,[],[],[],[],[1],[],[],[]
syrio forel,"[2, 7, 23]",[],[],[],[],[],[],[]
talisa,[],"[0, 5, 12]","[0, 7, 28]",[],[],[],[],[]
tanner,[],[],[],[0],[],[],[],[]
tansy,[],[],[],[22],[],[],[],[]
theon greyjoy,"[0, 12, 19]","[0, 11, 23]","[0, 15, 23]","[2, 6, 7]","[2, 21, 28]","[0, 2, 26]","[6, 26, 28]","[3, 4, 26]"
thin man,[],[],[],[],[3],[],[],[]
thoros,[],[],"[0, 1, 6]",[],[],[3],"[0, 2, 18]",[]
threeeyed raven,[],[],[],[],[],"[0, 6, 22]",[],[]
tickler,[],[0],[],[],[],[],[],[]
tobho mott,"[3, 5]",[],[],[],[],[],[],[]
tommen lannister,[],[3],[],"[0, 3, 18]","[6, 23, 26]","[0, 1, 2]",[],[]
tormund,[],[],"[0, 3, 18]","[0, 6, 9]","[0, 1, 6]","[19, 23, 25]","[3, 18, 26]","[18, 23]"
torturer,[],[],[28],[],[],[],[],[]
trystane,[],[],[],[],"[2, 25, 26]",[19],[],[]
tycho,[],[],[],"[17, 19]",[],[],"[4, 5]",[]
tyene,[],[],[],[],"[0, 20, 23]",[],[],[]
tyrion lannister,"[0, 5, 20]","[0, 10, 26]","[0, 8, 20]","[0, 12, 17]","[0, 10, 15]","[0, 4, 26]","[4, 6, 17]","[0, 5, 26]"
tywin lannister,"[7, 12]","[0, 16, 24]","[0, 8, 18]","[0, 10, 12]",[],[],[],[]
umber,[],[],[],[],[],[],[],"[0, 26]"
unsullied,[],[],[],[],[],[],[],[18]
vale knight,[],[],[],[],[],[13],[],[]
varys,"[5, 7, 16]","[0, 8, 16]","[0, 8]","[0, 10, 16]","[0, 2, 18]","[2, 15, 29]","[5, 6, 26]","[0, 15, 20]"
violet,[],[],"[2, 6, 25]",[],[],[],[],[]
viserys,"[4, 12, 25]",[],[],[],[],[],[],[]
viserys targaryen,"[2, 9, 25]",[],[],[],[],[],[],[]
waif,[],[],[],[],[],"[0, 7]",[],[]
waitress,[],[],[],[],[24],[],[],[]
walda,[],[],[],[],[28],[],[],[]
walder frey,"[1, 29]",[],"[0, 7, 26]",[],[],"[0, 12, 29]",[0],[]
wildling,[0],[0],[],[],[],[],[],[]
will,"[0, 15, 29]",[],[],[],[],[],[],[]
wine merchant,"[8, 26]",[],[],[],[],[],[],[]
wolkan,[],[],[],[],[],[],[8],[]
woman,[],"[0, 5]","[12, 24]",[],"[26, 28]",[],[],"[20, 22, 27]"
wounded soldier,[],[5],[],[],[],[],[],[]
wun wun,[],[],[],[],[],[0],[],[]
xaro,[],"[13, 19, 23]",[],[],[],[],[],[]
yara greyjoy,[],[0],[],"[7, 18, 21]",[],"[17, 23, 25]",[10],[12]
yarwick,[],[],[],[18],[],[],[],[]
yezzan,[],[],[],[],[],[23],[],[]
ygritte,[],"[0, 6, 17]","[0, 2, 7]","[0, 22]",[],[],[],[]
yohn royce,[],[],[],[],[],[8],"[0, 5]",[]
yoren,"[0, 2, 22]",[],[],[],[],[],[],[]
young man,[],[],[],[],[],[15],[],[]
